당기순이익	매출액	법인세차감전 순이익	영업이익
13838091085.0	422971682234.0	14513382778.0	4184476865.0
29219282498.0	524426753209.0	23745196211.0	10586475153.0
25819642484.0	529070651281.0	34778447074.0	49164156327.0
42394951310.0	2035063966997.0	450041238.0	88246563619.0
33376716060.0	533871532626.0	44955421366.0	56137976927.0
34851219799.0	581578794965.0	48715213508.0	54091009764.0
32242730857.0	624256418817.0	46456986999.0	64380149119.0
86628492346.0	2256322945848.0	123603885177.0	198478557062.0
29138299424.0	535072989028.0	47942983399.0	52919507116.0
23688706136.0	565480218493.0	33001397360.0	42625014066.0
13371224770.0	557422077386.0	21574080364.0	44867454287.0
71771637523.0	2202903850371.0	103247869605.0	174111104900.0
37079236731.0	583675324450.0	51535151552.0	58092180236.0
39581920276.0	647824327822.0	55448049306.0	62429683776.0
33046926679.0	657413279577.0	46852976891.0	56968467933.0
86816258840.0	2497554821448.0	121380678145.0	190571249139.0
21973525914.0	603474656497.0	31835364155.0	38695022647.0
3617628837.0	641553422311.0	2695826429.0	11918130720.0
21813350205.0	654384982866.0	30180398441.0	43457660274.0
35511119931.0	2520181551629.0	68456908151.0	123919983380.0
26162741121.0	621149368492.0	38022848651.0	48351964327.0
43880658674.0	665239760116.0	59275730531.0	68246734750.0
43823171306.0	685740216532.0	52416583799.0	70200439628.0
95735005249.0	2599183408023.0	126932523529.0	208141871425.0
126046994757.0	1128731291653.0	168349183843.0	85837373726.0
51271849285.0	276477838852.0	65755329350.0	19906837518.0
34077758683.0	332742589721.0	45053631681.0	24624138723.0
24076725230.0	361820962566.0	30080510505.0	25237244069.0
161248743738.0	1320797335286.0	204892402117.0	97793027286.0
29542609608.0	351198923241.0	39173971753.0	35515797502.0
32361377158.0	355059623054.0	43165365564.0	20742346251.0
26461663427.0	378734211755.0	37163442094.0	21972961055.0
109636658758.0	1462248030140.0	144920491811.0	88709620146.0
21161852883.0	339821145471.0	32380695761.0	25663951418.0
16552629242.0	386223106744.0	27885106406.0	16610604056.0
10895205542.0	378606354251.0	15744495347.0	151783152.0
58334962324.0	1518822858428.0	89391012820.0	50126443053.0
15658205382.0	344952534874.0	23275196444.0	6089798210.0
5690447409.0	359398622867.0	10684294658.0	5415387369.0
12557955003.0	382258147933.0	18299791825.0	3345046475.0
36612325771.0	1480353606936.0	54919633069.0	12535759291.0
115356769040.0	313276059812.0	157661075025.0	1073681544.0
34302047893.0	415486495797.0	47669529008.0	35657001526.0
28809240440.0	429680885082.0	33485406408.0	20371266036.0
190401937316.0	1619865302675.0	239891953125.0	84255098219.0
