Date,Open,High,Low,Close,Volume,Change
2016-08-25,1985,2000,1980,1990,69294,0.0025188916876575096
2016-08-26,1995,2090,1990,2020,214309,0.015075376884422065
2016-08-29,2020,2045,1995,2015,55072,-0.0024752475247524774
2016-08-30,2010,2020,1990,2015,18272,0.0
2016-08-31,2005,2040,2005,2025,15192,0.00496277915632759
2016-09-01,2005,2115,2000,2030,305465,0.0024691358024691024
2016-09-02,2030,2030,2005,2025,47097,-0.0024630541871921707
2016-09-05,2010,2030,2000,2025,47329,0.0
2016-09-06,2005,2020,2005,2020,18816,-0.0024691358024691024
2016-09-07,2010,2020,2005,2020,33692,0.0
2016-09-08,2005,2020,2000,2015,36787,-0.0024752475247524774
2016-09-09,2010,2015,2000,2010,28441,-0.002481389578163795
2016-09-12,2005,2005,1960,2000,66616,-0.00497512437810943
2016-09-13,1995,2000,1995,1995,25260,-0.0024999999999999467
2016-09-19,1995,2000,1985,1995,23674,0.0
2016-09-20,1990,2000,1985,1995,39111,0.0
2016-09-21,1985,2000,1985,1995,27062,0.0
2016-09-22,1995,2000,1965,1995,19707,0.0
2016-09-23,1990,2000,1990,1995,4749,0.0
2016-09-26,1995,1995,1980,1995,71184,0.0
2016-09-27,1995,1995,1985,1990,19757,-0.0025062656641604564
2016-09-28,1995,1995,1985,1990,19643,0.0
2016-09-29,1990,1990,1980,1985,26515,-0.002512562814070307
2016-09-30,1990,1995,1970,1995,35132,0.005037783375314797
2016-10-04,1995,2000,1970,1995,12481,0.0
2016-10-05,1985,1995,1975,1995,8858,0.0
2016-10-06,2000,2000,1985,2000,5653,0.0025062656641603454
2016-10-07,2000,2000,1980,1980,4889,-0.010000000000000009
2016-10-10,1980,1985,1975,1985,20143,0.002525252525252597
2016-10-11,1985,2010,1980,2000,33884,0.007556675062972307
2016-10-12,2000,2000,2000,2000,15050,0.0
2016-10-13,2000,2000,1990,1990,4,-0.0050000000000000044
2016-10-14,1990,1995,1990,1995,3852,0.002512562814070307
2016-10-17,1995,1995,1980,1990,2259,-0.0025062656641604564
2016-10-18,1995,1995,1985,1990,1272,0.0
2016-10-19,1995,1995,1980,1990,4523,0.0
2016-10-20,1995,1995,1985,1995,53,0.002512562814070307
2016-10-21,1995,1995,1970,1970,17079,-0.01253132832080206
2016-10-24,1980,1980,1965,1975,22239,0.002538071065989911
2016-10-25,1985,1985,1975,1985,3148,0.005063291139240533
2016-10-26,1980,1980,1920,1975,59103,-0.005037783375314908
2016-10-27,1980,1980,1965,1980,9007,0.0025316455696202667
2016-10-28,1975,1980,1965,1980,14489,0.0
2016-10-31,1980,1980,1965,1975,11219,-0.002525252525252486
2016-11-01,1980,1980,1965,1975,5255,0.0
2016-11-02,1970,1970,1955,1970,16907,-0.0025316455696202667
2016-11-03,1970,1970,1955,1955,1600,-0.0076142131979695105
2016-11-04,1970,1970,1950,1965,11103,0.005115089514066584
2016-11-07,1965,1965,1955,1955,47287,-0.0050890585241730735
2016-11-08,1955,1970,1950,1965,35360,0.005115089514066584
2016-11-09,1950,1965,1945,1960,14809,-0.0025445292620864812
2016-11-10,1965,1965,1950,1965,5663,0.0025510204081633514
2016-11-11,1965,1965,1960,1965,13558,0.0
2016-11-14,1950,1965,1950,1950,22330,-0.007633587786259555
2016-11-15,1955,1955,1945,1950,33462,0.0
2016-11-16,1955,1955,1950,1955,5447,0.002564102564102555
2016-11-17,1955,1965,1945,1965,8127,0.005115089514066584
2016-11-18,1965,1970,1955,1970,492,0.0025445292620864812
2016-11-21,1950,1965,1945,1965,1804,-0.0025380710659898
2016-11-22,1965,1965,1950,1950,5056,-0.007633587786259555
2016-11-23,1950,1965,1950,1960,6445,0.00512820512820511
2016-11-24,1965,1970,1960,1970,5643,0.005102040816326481
2016-11-25,1970,1970,1955,1965,29971,-0.0025380710659898
2016-11-28,1950,1965,1950,1965,11370,0.0
2016-11-29,1960,1960,1955,1960,8768,-0.0025445292620864812
2016-11-30,1960,1975,1960,1970,6059,0.005102040816326481
2016-12-01,1960,1970,1960,1970,2,0.0
2016-12-02,1970,1970,1960,1970,15635,0.0
2016-12-05,1965,1965,1955,1960,9536,-0.005076142131979711
2016-12-06,1960,1965,1960,1965,2176,0.0025510204081633514
2016-12-07,1965,1965,1950,1965,13954,0.0
2016-12-08,1950,1965,1950,1965,2383,0.0
2016-12-09,1960,1960,1955,1955,3715,-0.0050890585241730735
2016-12-12,1955,1970,1955,1970,7576,0.007672634271099765
2016-12-13,1970,1970,1965,1970,2100,0.0
2016-12-14,1970,1970,1960,1970,3582,0.0
2016-12-15,1970,1970,1960,1970,2714,0.0
2016-12-16,1965,1970,1960,1965,2002,-0.0025380710659898
2016-12-19,1965,1970,1965,1965,9750,0.0
2016-12-20,1965,1965,1965,1965,8920,0.0
2016-12-21,1960,1965,1950,1960,21971,-0.0025445292620864812
2016-12-22,1960,1960,1955,1955,8230,-0.0025510204081632404
2016-12-23,1955,1960,1950,1960,3732,0.002557544757033181
2016-12-26,1940,1965,1940,1960,111165,0.0
2016-12-27,1960,1960,1945,1960,7537,0.0
2016-12-28,1960,1960,1945,1960,3064,0.0
2016-12-29,1960,1960,1960,1960,1004,0.0
2017-01-02,1960,1960,1950,1950,2102,-0.005102040816326481
2017-01-03,1950,1955,1950,1955,5500,0.002564102564102555
2017-01-04,1945,1965,1945,1965,19148,0.005115089514066584
2017-01-05,1960,1960,1960,1960,500,-0.0025445292620864812
2017-01-06,1950,1955,1950,1950,2111,-0.005102040816326481
2017-01-09,1950,1955,1945,1955,1638,0.002564102564102555
2017-01-10,1945,1950,1935,1940,17237,-0.007672634271099765
2017-01-11,1940,1960,1940,1945,3020,0.002577319587628857
2017-01-12,1945,1945,1945,1945,7,0.0
2017-01-13,1955,1955,1945,1945,434,0.0
2017-01-16,1945,1945,1940,1940,8002,-0.0025706940874036244
2017-01-17,1940,1940,1940,1940,0,0.0
2017-01-18,1940,1950,1940,1950,435,0.005154639175257714
2017-01-19,1950,1950,1950,1950,3255,0.0
2017-01-20,1950,1950,1945,1950,1397,0.0
2017-01-23,1940,1950,1940,1950,1142,0.0
2017-01-24,1950,1950,1950,1950,1932,0.0
2017-01-25,1950,1950,1940,1940,4772,-0.00512820512820511
2017-01-26,1940,1945,1940,1940,5856,0.0
2017-01-31,1940,1940,1935,1935,4819,-0.002577319587628857
2017-02-01,1935,1940,1935,1940,13675,0.0025839793281654533
2017-02-02,1945,1945,1930,1940,5577,0.0
2017-02-03,1940,1940,1925,1930,25445,-0.005154639175257714
2017-02-06,1930,1930,1925,1930,13098,0.0
2017-02-07,1930,1940,1930,1930,12845,0.0
2017-02-08,1930,1935,1920,1935,16865,0.002590673575129543
2017-02-09,1930,1935,1920,1935,7201,0.0
2017-02-10,1925,1935,1920,1935,9264,0.0
2017-02-13,1925,1935,1920,1935,8069,0.0
2017-02-14,1935,1940,1930,1935,5047,0.0
2017-02-15,1940,1940,1940,1940,292,0.0025839793281654533
2017-02-16,1925,1940,1920,1940,2011,0.0
2017-02-17,1940,1945,1920,1920,6986,-0.010309278350515427
2017-02-20,1920,1930,1920,1920,2000,0.0
2017-02-21,1925,1940,1920,1930,9549,0.005208333333333259
2017-02-22,1920,1930,1920,1930,5319,0.0
2017-02-23,1930,1940,1925,1940,25807,0.005181347150259086
2017-02-24,1940,1945,1935,1940,7268,0.0
2017-02-27,1940,1940,1920,1940,2651,0.0
2017-02-28,1920,1945,1920,1940,8284,0.0
2017-03-02,1940,1945,1940,1945,7388,0.002577319587628857
2017-03-03,1945,1950,1925,1925,40908,-0.010282776349614386
2017-03-06,1970,1970,1935,1940,18705,0.007792207792207684
2017-03-07,1930,1955,1930,1955,25279,0.0077319587628865705
2017-03-08,1930,1955,1925,1950,22321,-0.002557544757033292
2017-03-09,1930,1940,1925,1935,62499,-0.007692307692307665
2017-03-10,1930,1940,1930,1930,4775,-0.0025839793281653423
2017-03-13,1930,1930,1915,1925,53753,-0.002590673575129543
2017-03-14,1930,1940,1925,1935,38530,0.0051948051948051965
2017-03-15,1930,1945,1925,1935,35660,0.0
2017-03-16,1930,1940,1920,1940,45814,0.0025839793281654533
2017-03-17,1935,1965,1935,1950,92590,0.005154639175257714
2017-03-20,1960,2025,1945,1990,329079,0.02051282051282044
2017-03-21,1985,1990,1955,1955,116444,-0.017587939698492483
2017-03-22,1970,1985,1960,1960,47214,0.002557544757033181
2017-03-23,1955,1985,1950,1970,41305,0.005102040816326481
2017-03-24,1975,1975,1955,1970,15829,0.0
2017-03-27,1970,1975,1945,1960,27551,-0.005076142131979711
2017-03-28,1955,1960,1945,1960,32441,0.0
2017-03-29,1960,1970,1950,1960,15823,0.0
2017-03-30,1970,1975,1960,1975,12709,0.007653061224489832
2017-03-31,1965,1980,1960,1975,3448,0.0
